Date,Open,High,Low,Close,Volume,Adj Close
9/11/2014,15880.91016,15925.50977,15854.29981,15909.2002,130300,15909.2002
9/10/2014,15688.54981,15795.59961,15664.79004,15788.78027,109700,15788.78027
9/9/2014,15795.82031,15795.82031,15736.12988,15749.15039,106100,15749.15039
9/8/2014,15718.12988,15730.33008,15656.40039,15705.11035,95600,15705.11035
9/5/2014,15792.63965,15792.63965,15641.37012,15668.67969,109600,15668.67969
9/4/2014,15701.61035,15732.75977,15663.58984,15676.17969,110900,15676.17969
9/3/2014,15797.79004,15829.37988,15723.54004,15728.34961,137800,15728.34961
9/2/2014,15526.94043,15737.36035,15516.5,15668.59961,122600,15668.59961
9/1/2014,15454.58984,15478.76953,15440.99023,15476.59961,74800,15476.59961
8/29/2014,15423.87988,15447.80957,15356,15424.58984,111000,15424.58984
8/28/2014,15482.26953,15487.99023,15423.90039,15459.86035,99300,15459.86035
8/27/2014,15556.55957,15588.21973,15465.99023,15534.82031,102200,15534.82031
8/26/2014,15609.63965,15613.33984,15519.41992,15521.21973,86400,15521.21973
8/25/2014,15609.42969,15628.61035,15553.50977,15613.25,81900,15613.25
8/22/2014,15618.04981,15628.78027,15524.42969,15539.19043,102300,15539.19043
8/21/2014,15530.98047,15601.99023,15525.78027,15586.2002,117700,15586.2002
8/20/2014,15485.92969,15492.87988,15433.71973,15454.4502,92700,15454.4502
8/19/2014,15451.94043,15476.04981,15429.11035,15449.79004,94200,15449.79004
8/18/2014,15318.5,15365.34961,15303.38965,15322.59961,77300,15322.59961
8/15/2014,15317.15039,15328.33984,15276.99023,15318.33984,88700,15318.33984
8/14/2014,15284.37988,15338.84961,15272.90039,15314.57031,92700,15314.57031
8/13/2014,15111.75977,15235.90039,15108.53027,15213.62988,96300,15213.62988
8/12/2014,15164.73047,15235.98047,15125.92969,15161.30957,89300,15161.30957
8/11/2014,15022.63965,15161.54004,14973.70996,15130.51953,114600,15130.51953
8/8/2014,15063.73047,15074.32031,14753.83984,14778.37012,177200,14778.37012
8/7/2014,15138.71973,15243.05957,15061.99023,15232.37012,143100,15232.37012
8/6/2014,15260,15271.13965,15121.42969,15159.79004,135500,15159.79004
8/5/2014,15506.87012,15507.32031,15313.83984,15320.30957,131500,15320.30957
8/4/2014,15474.65039,15535.62012,15440.20996,15474.5,123600,15474.5
8/1/2014,15511.54004,15602.12988,15501.15039,15523.11035,143300,15523.11035
7/31/2014,15732.78027,15759.66016,15618.84961,15620.76953,154100,15620.76953
7/30/2014,15616.88965,15666.62012,15594.88965,15646.23047,117500,15646.23047
7/29/2014,15564.79004,15632.7002,15556.01953,15618.07031,98800,15618.07031
7/28/2014,15426.98047,15556.62012,15426.98047,15529.40039,115600,15529.40039
7/25/2014,15342.45996,15457.87012,15341.69043,15457.87012,119900,15457.87012
7/24/2014,15350.28027,15383.11035,15232.13965,15284.41992,122000,15284.41992
7/23/2014,15367.16016,15376.2002,15317.37012,15328.55957,100100,15328.55957
7/22/2014,15296.41992,15392.01953,15287.92969,15343.28027,115400,15343.28027
7/21/2014,15215.70996,15215.70996,15215.70996,15215.70996,0,15215.70996
7/18/2014,15174.08008,15220.5,15110.4502,15215.70996,92200,15215.70996
7/17/2014,15422.87012,15465.74023,15347.84961,15370.25977,102500,15370.25977
7/16/2014,15369.66016,15423.95996,15355,15379.29981,98200,15379.29981
7/15/2014,15354.42969,15441.54004,15346.08984,15395.16016,101000,15395.16016
7/14/2014,15199.17969,15324.9502,15179.49023,15296.82031,96300,15296.82031
7/11/2014,15102.58984,15204.00977,15101.49023,15164.04004,123600,15164.04004
7/10/2014,15318.29981,15326.78027,15215.42969,15216.46973,112900,15216.46973
7/9/2014,15194.32031,15302.65039,15185.32031,15302.65039,118300,15302.65039
7/8/2014,15304.26953,15389.88965,15225.11035,15314.41016,117700,15314.41016
7/7/2014,15433.49023,15477.76953,15379.44043,15379.44043,84000,15379.44043
7/4/2014,15490.37012,15490.37012,15420.07031,15437.12988,108800,15437.12988
7/3/2014,15435.33984,15435.33984,15324.32031,15348.29004,114200,15348.29004
7/2/2014,15406.23047,15444.62988,15354.91016,15369.96973,116800,15369.96973
7/1/2014,15179.63965,15389.08008,15145.87012,15326.2002,137500,15326.2002
6/30/2014,15159.4502,15177.87012,15052.33984,15162.09961,102000,15162.09961
6/27/2014,15290.75,15293.82031,15027.30957,15095,131000,15095
6/26/2014,15320.12988,15345.12012,15278.21973,15308.49023,105400,15308.49023
6/25/2014,15297.24023,15347.87988,15265.70996,15266.61035,108400,15266.61035
6/24/2014,15300.5,15424.57031,15252.26953,15376.24023,122700,15376.24023
6/23/2014,15419.46973,15442.66992,15335.87988,15369.28027,120000,15369.28027
6/20/2014,15359.59961,15422.05957,15305.42969,15349.41992,190000,15349.41992
6/19/2014,15140.34961,15375.37988,15138.28027,15361.16016,189900,15361.16016
6/18/2014,15009.88965,15139.99023,14995.4502,15115.79981,118600,15115.79981
6/17/2014,14962.99023,15026.95996,14948.54004,14975.96973,107400,14975.96973
6/16/2014,15049.61035,15056.75,14867.15039,14933.29004,116000,14933.29004
6/13/2014,14830.99023,15121.63965,14830.99023,15097.83984,172200,15097.83984
6/12/2014,14942.15039,14992.95996,14862.08008,14973.53027,132400,14973.53027
6/11/2014,15000.12988,15075.71973,14998.62988,15069.48047,99500,15069.48047
6/10/2014,15130.74023,15184.76953,14966.79981,14994.79981,121300,14994.79981
6/9/2014,15204.30957,15206.57031,15116.03027,15124,107300,15124
6/6/2014,15138.75,15144.33984,15042.58984,15077.24023,134800,15077.24023
6/5/2014,15112.58984,15141.13965,15016.80957,15079.37012,127900,15079.37012
6/4/2014,15067.41016,15071.78027,14985.20996,15067.95996,132000,15067.95996
6/3/2014,15089.04004,15091.49023,15026.00977,15034.25,145900,15034.25
6/2/2014,14777.50977,14963.91016,14777.50977,14935.91992,130600,14935.91992
5/30/2014,14707.66016,14741.09961,14591.62012,14632.37988,175300,14632.37988
5/29/2014,14585.63965,14714.9502,14574.01953,14681.71973,122000,14681.71973
5/28/2014,14646.92969,14717.29004,14608.54004,14670.9502,120100,14670.9502
5/27/2014,14589.79004,14744.16016,14588.67969,14636.51953,129400,14636.51953
5/26/2014,14592.59961,14602.51953,14531.32031,14602.51953,106900,14602.51953
5/23/2014,14411.09961,14528.04004,14404.79981,14462.16992,142400,14462.16992
5/22/2014,14188.28027,14369.01953,14147.54981,14337.79004,160300,14337.79004
5/21/2014,13969.70996,14054.24023,13964.42969,14042.16992,121700,14042.16992
5/20/2014,14088.4502,14144.04004,14038.05957,14075.25,123100,14075.25
5/19/2014,14130.08984,14150.5,13991.79981,14006.44043,114000,14006.44043
5/16/2014,14087.75977,14108.44043,14016.49023,14096.58984,131300,14096.58984
5/15/2014,14280.50977,14306.36035,14190.26953,14298.20996,132600,14298.20996
5/14/2014,14385.59961,14419.65039,14349.87012,14405.75977,112700,14405.75977
5/13/2014,14367.94043,14464.00977,14359.74023,14425.44043,129900,14425.44043
5/12/2014,14173.49023,14234.49023,14130.29981,14149.51953,109200,14149.51953
5/9/2014,14101.98047,14266.29004,14091.2002,14199.58984,125300,14199.58984
5/8/2014,14136.41016,14254.44043,14108.16016,14163.78027,123000,14163.78027
5/7/2014,14296.25,14299.12988,14033.4502,14033.4502,143200,14033.4502
5/6/2014,14457.50977,14457.50977,14457.50977,14457.50977,0,14457.50977
5/2/2014,14454.44043,14473.75,14405.76953,14457.50977,108600,14457.50977
5/1/2014,14341.08984,14493.03027,14341.08984,14485.12988,129200,14485.12988
4/30/2014,14393.50977,14421.21973,14275.69043,14304.11035,125100,14304.11035
4/29/2014,14288.23047,14288.23047,14288.23047,14288.23047,0,14288.23047
4/28/2014,14289.82031,14324.03027,14224.46973,14288.23047,97400,14288.23047
4/25/2014,14369.71973,14554.32031,14327.59961,14429.25977,115000,14429.25977
4/24/2014,14563.25,14563.25,14367.12988,14404.99023,106300,14404.99023
4/23/2014,14480.41016,14546.26953,14459.29004,14546.26953,103200,14546.26953
4/22/2014,14586.29004,14604.29981,14388.76953,14388.76953,99300,14388.76953
4/21/2014,14549.4502,14649.5,14503.16992,14512.37988,95300,14512.37988
4/18/2014,14489.37012,14536.66992,14442.74023,14516.26953,78200,14516.26953
4/17/2014,14395.9502,14500.66016,14351.84961,14417.53027,127900,14417.53027
4/16/2014,14126.87012,14420.29981,14125.58984,14417.67969,143600,14417.67969
