Date,Open,High,Low,Close,Volume,Adj Close
2015-07-24,3360.860107,3366.52002,3346.860107,3352.649902,255771100,3352.649902
2015-07-23,3371.120117,3375.969971,3356.370117,3356.370117,333250900,3356.370117
2015-07-22,3369.159912,3377.649902,3352.560059,3359.169922,190123400,3359.169922
2015-07-21,3382.959961,3383.560059,3366.209961,3371.409912,202014200,3371.409912
2015-07-20,3370.00,3376.22998,3361.320068,3373.47998,224756100,3373.47998
2015-07-16,3351.459961,3358.090088,3345.76001,3353.449951,195164700,3353.449951
2015-07-15,3323.280029,3342.330078,3322.120117,3338.860107,157448600,3338.860107
2015-07-14,3321.590088,3330.22998,3309.280029,3316.50,000,3316.50
2015-07-13,3298.280029,3316.370117,3290.110107,3311.219971,151685700,3311.219971
2015-07-10,3275.00,3291.409912,3272.590088,3279.879883,185123300,3279.879883
2015-07-09,3261.169922,3289.280029,3249.889893,3267.399902,257116900,3267.399902
2015-07-08,3329.98999,3335.370117,3274.22998,3284.98999,349488100,3284.98999
2015-07-07,3342.199951,3346.47998,3327.699951,3340.929932,204421900,3340.929932
2015-07-06,3319.929932,3334.790039,3307.26001,3332.939941,174041600,3332.939941
2015-07-03,3331.030029,3348.300049,3328.98999,3342.72998,131999200,3342.72998
2015-07-02,3354.820068,3357.949951,3326.360107,3327.840088,173471100,3327.840088
2015-07-01,3317.469971,3342.040039,3311.030029,3331.139893,165755800,3331.139893
2015-06-30,3283.77002,3326.23999,3281.300049,3317.330078,270177600,3317.330078
2015-06-29,3277.899902,3290.629883,3267.679932,3280.179932,215454000,3280.179932
2015-06-26,3346.300049,3353.590088,3320.060059,3320.899902,190576300,3320.899902
2015-06-25,3346.889893,3358.23999,3343.469971,3349.870117,184843100,3349.870117
2015-06-24,3348.01001,3361.040039,3338.73999,3351.330078,226753400,3351.330078
2015-06-23,3328.389893,3343.830078,3323.26001,3339.780029,201304800,3339.780029
2015-06-22,3313.060059,3330.590088,3311.120117,3315.129883,174052400,3315.129883
2015-06-19,3319.959961,3320.209961,3299.649902,3300.959961,205394600,3300.959961
2015-06-18,3324.159912,3326.050049,3299.290039,3300.419922,168344400,3300.419922
2015-06-17,3315.219971,3346.02002,3311.800049,3325.909912,264453200,3325.909912
2015-06-16,3311.939941,3311.939941,3291.060059,3298.090088,202882300,3298.090088
